N_surface,S_100,S_111,S_110,S_311,Avg_surf,q6q6_avg_surf,target
428,65,152,87,23,8.2266,8.1799,-4043.6019
502,0,311,108,0,8.5956,8.3048,-4062.1102
506,0,80,320,0,8.5909,8.4466,-4072.0385
505,0,80,318,0,8.5743,8.3703,-4073.7527
503,0,24,304,0,8.4791,8.3419,-4088.5768
462,0,282,101,15,8.5216,8.2727,-4121.9109
452,9,273,80,18,8.4646,8.2257,-4138.7608
502,0,24,278,0,8.49,8.2749,-4115.6675
437,43,193,66,40,8.3524,8.0732,-4141.0683
438,46,219,41,39,8.3333,8.0046,-4144.0223
422,98,150,39,28,8.1659,7.628,-4149.7368
428,85,200,16,55,8.215,8.1682,-4176.2179
475,1,114,91,4,8.3453,8.2358,-4182.5158
484,0,117,96,1,8.3533,8.1446,-4203.3102
480,0,358,96,0,8.5271,8.4896,-4219.2872
531,0,24,344,0,8.5631,8.3522,-4193.4253
442,53,214,40,52,8.3167,7.8484,-4222.7922
486,0,360,120,0,8.5432,8.5144,-4239.9812
472,0,300,109,7,8.536,8.322,-4245.6908
530,0,26,322,0,8.5585,8.2396,-4222.9612
522,0,50,239,0,8.5115,7.9387,-4237.4034
522,0,50,239,0,8.5115,7.9387,-4237.4034
459,72,82,57,38,8.2179,7.695,-4247.8309
491,0,89,83,7,8.3768,7.9817,-4289.8985
480,27,11,65,13,8.2417,6.9979,-4283.2626
464,0,54,45,94,8.2845,7.5711,-4300.3972
468,66,183,1,69,8.1752,7.5983,-4339.6605
496,1,30,51,24,8.2944,7.5141,-4376.2321
503,1,4,74,12,8.3479,7.0378,-4386.7668
477,18,264,78,26,8.4612,8.2662,-4476.4749
477,19,282,65,29,8.4465,8.1929,-4493.4069
488,56,162,27,67,8.2398,7.5738,-4467.3637
544,0,364,6,97,8.3934,8.079,-4463.4605
462,41,231,63,32,8.4026,8.1126,-4512.1914
452,95,163,36,50,8.1991,7.9403,-4549.4495
491,63,48,204,0,8.2648,8.0692,-4563.7816
468,90,23,19,105,8.0748,7.7521,-4608.0119
522,0,90,75,13,8.4234,7.6149,-4622.351
507,0,314,101,20,8.5266,8.3432,-4665.6157
524,0,87,89,20,8.4198,7.7042,-4645.5553
499,68,42,153,7,8.2525,7.7936,-4647.7523
507,0,331,81,20,8.5306,8.3314,-4675.1433
460,114,152,37,31,8.1761,7.6087,-4675.1133
557,0,212,235,0,8.5709,8.4686,-4667.9664
526,1,87,117,5,8.4791,7.9867,-4682.619
497,30,282,44,43,8.4145,7.9235,-4721.3654
524,0,224,228,0,8.5134,8.4752,-4776.7606
497,17,291,71,17,8.503,8.159,-4807.9111
498,4,24,20,178,8.1707,7.8956,-4805.3799
